n partitions	n workers	list size	perc globals	perc writes	n ops	cos size	TP
4	16	1000	0	10	10000000	150	265785
4	17	1000	0	10	10000000	150	252966
4	18	1000	0	10	10000000	150	272214
4	19	1000	0	10	10000000	150	238399
4	20	1000	0	10	10000000	150	267074
4	21	1000	0	10	10000000	150	265318
4	22	1000	0	10	10000000	150	260709
4	23	1000	0	10	10000000	150	261471
4	24	1000	0	10	10000000	150	266606
4	26	1000	0	10	10000000	150	267328
6	1	1000	0	10	10000000	150	231637
6	2	1000	0	10	10000000	150	252361
6	3	1000	0	10	10000000	150	256171
6	4	1000	0	10	10000000	150	202856
6	5	1000	0	10	10000000	150	235278
6	6	1000	0	10	10000000	150	218742
6	7	1000	0	10	10000000	150	211006
6	8	1000	0	10	10000000	150	218677
6	9	1000	0	10	10000000	150	210876
6	10	1000	0	10	10000000	150	221249
6	11	1000	0	10	10000000	150	220823
6	12	1000	0	10	10000000	150	208664
6	13	1000	0	10	10000000	150	213677
6	14	1000	0	10	10000000	150	246324
6	15	1000	0	10	10000000	150	236332
6	16	1000	0	10	10000000	150	218672
6	17	1000	0	10	10000000	150	202169
6	18	1000	0	10	10000000	150	230258
6	19	1000	0	10	10000000	150	214087
6	20	1000	0	10	10000000	150	214585
6	21	1000	0	10	10000000	150	212684
6	22	1000	0	10	10000000	150	204024
6	23	1000	0	10	10000000	150	214363
6	24	1000	0	10	10000000	150	224967
6	26	1000	0	10	10000000	150	242035
2	1	1000	1	10	10000000	150	182485
2	2	1000	1	10	10000000	150	340206
2	3	1000	1	10	10000000	150	395647
2	4	1000	1	10	10000000	150	350556
2	5	1000	1	10	10000000	150	381014
2	6	1000	1	10	10000000	150	347064
2	7	1000	1	10	10000000	150	326877
2	8	1000	1	10	10000000	150	310524
2	9	1000	1	10	10000000	150	370987
2	10	1000	1	10	10000000	150	359615
2	11	1000	1	10	10000000	150	341878
2	12	1000	1	10	10000000	150	328530
2	13	1000	1	10	10000000	150	335968
2	14	1000	1	10	10000000	150	302029
2	15	1000	1	10	10000000	150	311459
2	16	1000	1	10	10000000	150	327909
2	17	1000	1	10	10000000	150	279590
2	18	1000	1	10	10000000	150	365321
2	19	1000	1	10	10000000	150	341042
2	20	1000	1	10	10000000	150	314366
2	21	1000	1	10	10000000	150	315171
2	22	1000	1	10	10000000	150	332581
2	23	1000	1	10	10000000	150	324345
2	24	1000	1	10	10000000	150	352590
2	26	1000	1	10	10000000	150	302538
4	1	1000	1	10	10000000	150	233110
4	2	1000	1	10	10000000	150	265377
4	3	1000	1	10	10000000	150	273968
4	4	1000	1	10	10000000	150	300222
4	5	1000	1	10	10000000	150	243088
4	6	1000	1	10	10000000	150	249658
4	7	1000	1	10	10000000	150	238052
4	8	1000	1	10	10000000	150	275320
4	9	1000	1	10	10000000	150	256095
4	10	1000	1	10	10000000	150	261078
4	11	1000	1	10	10000000	150	281128
4	12	1000	1	10	10000000	150	279999
4	13	1000	1	10	10000000	150	329122
4	14	1000	1	10	10000000	150	259211
4	15	1000	1	10	10000000	150	267664
4	16	1000	1	10	10000000	150	302011
4	17	1000	1	10	10000000	150	253258
4	18	1000	1	10	10000000	150	253991
4	19	1000	1	10	10000000	150	248590
4	20	1000	1	10	10000000	150	234812
4	21	1000	1	10	10000000	150	252361
4	22	1000	1	10	10000000	150	252094
4	23	1000	1	10	10000000	150	250173
4	24	1000	1	10	10000000	150	280608
4	26	1000	1	10	10000000	150	255854
6	1	1000	1	10	10000000	150	235971
6	2	1000	1	10	10000000	150	221749
6	3	1000	1	10	10000000	150	238158
6	4	1000	1	10	10000000	150	226783
6	5	1000	1	10	10000000	150	217464
6	6	1000	1	10	10000000	150	203012
6	7	1000	1	10	10000000	150	205966
6	8	1000	1	10	10000000	150	214577
6	9	1000	1	10	10000000	150	209961
6	10	1000	1	10	10000000	150	223164
6	11	1000	1	10	10000000	150	214153
6	12	1000	1	10	10000000	150	215126
6	13	1000	1	10	10000000	150	213056
6	14	1000	1	10	10000000	150	226904
6	15	1000	1	10	10000000	150	211986
6	16	1000	1	10	10000000	150	223630
6	17	1000	1	10	10000000	150	202264
6	18	1000	1	10	10000000	150	224935
6	19	1000	1	10	10000000	150	223837
6	20	1000	1	10	10000000	150	205587
6	21	1000	1	10	10000000	150	209469
6	22	1000	1	10	10000000	150	226688
6	23	1000	1	10	10000000	150	177882
6	24	1000	1	10	10000000	150	234953
6	26	1000	1	10	10000000	150	198978
2	1	1000	5	10	10000000	150	159459
2	2	1000	5	10	10000000	150	301779
2	3	1000	5	10	10000000	150	329929
2	4	1000	5	10	10000000	150	360229
2	5	1000	5	10	10000000	150	340234
2	6	1000	5	10	10000000	150	313684
2	7	1000	5	10	10000000	150	273950
2	8	1000	5	10	10000000	150	300035
2	9	1000	5	10	10000000	150	281780
2	10	1000	5	10	10000000	150	269009
2	11	1000	5	10	10000000	150	306419
2	12	1000	5	10	10000000	150	326669
2	13	1000	5	10	10000000	150	259886
2	14	1000	5	10	10000000	150	277455
2	15	1000	5	10	10000000	150	271609
2	16	1000	5	10	10000000	150	289269
2	17	1000	5	10	10000000	150	292300
2	18	1000	5	10	10000000	150	286360
2	19	1000	5	10	10000000	150	307153
2	20	1000	5	10	10000000	150	292022
2	21	1000	5	10	10000000	150	272447
2	22	1000	5	10	10000000	150	305860
2	23	1000	5	10	10000000	150	272532
2	24	1000	5	10	10000000	150	300156
2	26	1000	5	10	10000000	150	276355
4	1	1000	5	10	10000000	150	188320
4	2	1000	5	10	10000000	150	245581
4	3	1000	5	10	10000000	150	270709
4	4	1000	5	10	10000000	150	255638
4	5	1000	5	10	10000000	150	358950
4	6	1000	5	10	10000000	150	319329
4	7	1000	5	10	10000000	150	257870
4	8	1000	5	10	10000000	150	291378
4	9	1000	5	10	10000000	150	272272
4	10	1000	5	10	10000000	150	240663
4	11	1000	5	10	10000000	150	219343
4	12	1000	5	10	10000000	150	249695
4	13	1000	5	10	10000000	150	224860
4	14	1000	5	10	10000000	150	245175
4	15	1000	5	10	10000000	150	240161
4	16	1000	5	10	10000000	150	293984
4	17	1000	5	10	10000000	150	215635
4	18	1000	5	10	10000000	150	228762
4	19	1000	5	10	10000000	150	298732
4	20	1000	5	10	10000000	150	249116
4	21	1000	5	10	10000000	150	240793
4	22	1000	5	10	10000000	150	305205
4	23	1000	5	10	10000000	150	247584
4	24	1000	5	10	10000000	150	244812
4	26	1000	5	10	10000000	150	272908
6	1	1000	5	10	10000000	150	200541
6	2	1000	5	10	10000000	150	226949
6	3	1000	5	10	10000000	150	209907
6	4	1000	5	10	10000000	150	199026
6	5	1000	5	10	10000000	150	190746
6	6	1000	5	10	10000000	150	190106
6	7	1000	5	10	10000000	150	194480
6	8	1000	5	10	10000000	150	197233
6	9	1000	5	10	10000000	150	212480
6	10	1000	5	10	10000000	150	183306
6	11	1000	5	10	10000000	150	193215
6	12	1000	5	10	10000000	150	193286
6	13	1000	5	10	10000000	150	190278
6	14	1000	5	10	10000000	150	228885
6	15	1000	5	10	10000000	150	204320
6	16	1000	5	10	10000000	150	208702
6	17	1000	5	10	10000000	150	187187
6	18	1000	5	10	10000000	150	207016
6	19	1000	5	10	10000000	150	193752
6	20	1000	5	10	10000000	150	175340
6	21	1000	5	10	10000000	150	200927
6	22	1000	5	10	10000000	150	199459
6	23	1000	5	10	10000000	150	172876
6	24	1000	5	10	10000000	150	197254
6	26	1000	5	10	10000000	150	196527
2	1	1000	0	20	10000000	150	203050
2	2	1000	0	20	10000000	150	299775
2	3	1000	0	20	10000000	150	320311
2	4	1000	0	20	10000000	150	336289
2	5	1000	0	20	10000000	150	341843
2	6	1000	0	20	10000000	150	325441
2	7	1000	0	20	10000000	150	318403
2	8	1000	0	20	10000000	150	315878
2	9	1000	0	20	10000000	150	275227
2	10	1000	0	20	10000000	150	271615
2	11	1000	0	20	10000000	150	297283
2	12	1000	0	20	10000000	150	288148
2	13	1000	0	20	10000000	150	290031
2	14	1000	0	20	10000000	150	293912
2	15	1000	0	20	10000000	150	293147
2	16	1000	0	20	10000000	150	287644
2	17	1000	0	20	10000000	150	288960
2	18	1000	0	20	10000000	150	313876
2	19	1000	0	20	10000000	150	272549
2	20	1000	0	20	10000000	150	318472
2	21	1000	0	20	10000000	150	303902
2	22	1000	0	20	10000000	150	289778
2	23	1000	0	20	10000000	150	303682
2	24	1000	0	20	10000000	150	309994
2	26	1000	0	20	10000000	150	264688
4	1	1000	0	20	10000000	150	229294
4	2	1000	0	20	10000000	150	267974
4	3	1000	0	20	10000000	150	268755
4	4	1000	0	20	10000000	150	271289
4	5	1000	0	20	10000000	150	262807
4	6	1000	0	20	10000000	150	251407
4	7	1000	0	20	10000000	150	249458
4	8	1000	0	20	10000000	150	257259
4	9	1000	0	20	10000000	150	238671
4	10	1000	0	20	10000000	150	248735
4	11	1000	0	20	10000000	150	265591
4	12	1000	0	20	10000000	150	267182
4	13	1000	0	20	10000000	150	263838
4	14	1000	0	20	10000000	150	247161
4	15	1000	0	20	10000000	150	265168
4	16	1000	0	20	10000000	150	261421
4	17	1000	0	20	10000000	150	233524
4	18	1000	0	20	10000000	150	248409
4	19	1000	0	20	10000000	150	263920
4	20	1000	0	20	10000000	150	259320
4	21	1000	0	20	10000000	150	218483
4	22	1000	0	20	10000000	150	296055
4	23	1000	0	20	10000000	150	281901
4	24	1000	0	20	10000000	150	219553
4	26	1000	0	20	10000000	150	270254
6	1	1000	0	20	10000000	150	226880
6	2	1000	0	20	10000000	150	232073
6	3	1000	0	20	10000000	150	243159
6	4	1000	0	20	10000000	150	242380
6	5	1000	0	20	10000000	150	209015
6	6	1000	0	20	10000000	150	218160
6	7	1000	0	20	10000000	150	213346
6	8	1000	0	20	10000000	150	222726
6	9	1000	0	20	10000000	150	218645
6	10	1000	0	20	10000000	150	207166
6	11	1000	0	20	10000000	150	214486
6	12	1000	0	20	10000000	150	216432
6	13	1000	0	20	10000000	150	223991
6	14	1000	0	20	10000000	150	233798
6	15	1000	0	20	10000000	150	226582
6	16	1000	0	20	10000000	150	211300
6	17	1000	0	20	10000000	150	238164
6	18	1000	0	20	10000000	150	206768
6	19	1000	0	20	10000000	150	202731
6	20	1000	0	20	10000000	150	213188
6	21	1000	0	20	10000000	150	216367
6	22	1000	0	20	10000000	150	214825
6	23	1000	0	20	10000000	150	233437
6	24	1000	0	20	10000000	150	219481
6	26	1000	0	20	10000000	150	233520
2	1	1000	1	20	10000000	150	138832
2	2	1000	1	20	10000000	150	283990
2	3	1000	1	20	10000000	150	281226
2	4	1000	1	20	10000000	150	324300
2	5	1000	1	20	10000000	150	304849
2	6	1000	1	20	10000000	150	307387
2	7	1000	1	20	10000000	150	258975
2	8	1000	1	20	10000000	150	260818
2	9	1000	1	20	10000000	150	260387
2	10	1000	1	20	10000000	150	267921
2	11	1000	1	20	10000000	150	275560
2	12	1000	1	20	10000000	150	247975
2	13	1000	1	20	10000000	150	256038
2	14	1000	1	20	10000000	150	241039
2	15	1000	1	20	10000000	150	287586
2	16	1000	1	20	10000000	150	259067
2	17	1000	1	20	10000000	150	261764
2	18	1000	1	20	10000000	150	239078
2	19	1000	1	20	10000000	150	257270
2	20	1000	1	20	10000000	150	221417
2	21	1000	1	20	10000000	150	278421
2	22	1000	1	20	10000000	150	233680
2	23	1000	1	20	10000000	150	259375
2	24	1000	1	20	10000000	150	243128
2	26	1000	1	20	10000000	150	259943
4	1	1000	1	20	10000000	150	196640
4	2	1000	1	20	10000000	150	222946
4	3	1000	1	20	10000000	150	294755
4	4	1000	1	20	10000000	150	300903
4	5	1000	1	20	10000000	150	329207
4	6	1000	1	20	10000000	150	239046
4	7	1000	1	20	10000000	150	295539
4	8	1000	1	20	10000000	150	308626
4	9	1000	1	20	10000000	150	300973
4	10	1000	1	20	10000000	150	254020
4	11	1000	1	20	10000000	150	261837
4	12	1000	1	20	10000000	150	271368
4	13	1000	1	20	10000000	150	262285
4	14	1000	1	20	10000000	150	254744
4	15	1000	1	20	10000000	150	258362
4	16	1000	1	20	10000000	150	254814
4	17	1000	1	20	10000000	150	250284
4	18	1000	1	20	10000000	150	258763
4	19	1000	1	20	10000000	150	273067
4	20	1000	1	20	10000000	150	314630
4	21	1000	1	20	10000000	150	264697
4	22	1000	1	20	10000000	150	257263
4	23	1000	1	20	10000000	150	253232
4	24	1000	1	20	10000000	150	312685
4	26	1000	1	20	10000000	150	231123
6	1	1000	1	20	10000000	150	208724
6	2	1000	1	20	10000000	150	225108
6	3	1000	1	20	10000000	150	236066
6	4	1000	1	20	10000000	150	228317
6	5	1000	1	20	10000000	150	209972
6	6	1000	1	20	10000000	150	227568
6	7	1000	1	20	10000000	150	214583
6	8	1000	1	20	10000000	150	200136
6	9	1000	1	20	10000000	150	213912
6	10	1000	1	20	10000000	150	227960
6	11	1000	1	20	10000000	150	251444
6	12	1000	1	20	10000000	150	213660
6	13	1000	1	20	10000000	150	218079
6	14	1000	1	20	10000000	150	218156
6	15	1000	1	20	10000000	150	225298
6	16	1000	1	20	10000000	150	213987
6	17	1000	1	20	10000000	150	214513
6	18	1000	1	20	10000000	150	214547
6	19	1000	1	20	10000000	150	202233
6	20	1000	1	20	10000000	150	196795
6	21	1000	1	20	10000000	150	192092
6	22	1000	1	20	10000000	150	205388
6	23	1000	1	20	10000000	150	222757
6	24	1000	1	20	10000000	150	233681
6	26	1000	1	20	10000000	150	206996
2	1	1000	5	20	10000000	150	127401
2	2	1000	5	20	10000000	150	233290
2	3	1000	5	20	10000000	150	243929
2	4	1000	5	20	10000000	150	269417
2	5	1000	5	20	10000000	150	267168
2	6	1000	5	20	10000000	150	206732
2	7	1000	5	20	10000000	150	221168
2	8	1000	5	20	10000000	150	218299
2	9	1000	5	20	10000000	150	191152
2	10	1000	5	20	10000000	150	233355
2	11	1000	5	20	10000000	150	203632
2	12	1000	5	20	10000000	150	223564
2	13	1000	5	20	10000000	150	216838
2	14	1000	5	20	10000000	150	191275
2	15	1000	5	20	10000000	150	221305
2	16	1000	5	20	10000000	150	242286
2	17	1000	5	20	10000000	150	236495
2	18	1000	5	20	10000000	150	208925
2	19	1000	5	20	10000000	150	198819
2	20	1000	5	20	10000000	150	203033
2	21	1000	5	20	10000000	150	218770
2	22	1000	5	20	10000000	150	209341
2	23	1000	5	20	10000000	150	184152
2	24	1000	5	20	10000000	150	218026
2	26	1000	5	20	10000000	150	211272
4	1	1000	5	20	10000000	150	135644
4	2	1000	5	20	10000000	150	211908
4	3	1000	5	20	10000000	150	252543
